bin_id,galaxy,source,preferred_profile,radius_type,digitized_center_deg,digitized_center_offset_deg,count_digitized,count,count_err,rin_deg,rout_deg,rmid_deg,rin_arcmin,rout_arcmin,rm_arcmin,rin_pc,rout_pc,rm_pc,Sigma,Sigma_err,Sigma_pc2,Sigma_err_pc2,background,background_err,ellipticity,q_axis_ratio,area_arcmin2,area_pc2,Sigma_units,R_units,area_model,pc_per_arcmin_assumed,annulus_width_deg,note
20,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.5199185764756611,0.007418576475661021,2.677026887172629,3,1.7320508075688772,0.5,0.525,0.5125000000000001,30.0,31.5,30.750000000000004,200.7128639793479,210.74850717831532,205.73068557883164,0.010351541014107013,0.005976464991022136,0.0002312581785721418,0.0001335169716509286,0.0,0.0,0.0,1.0,289.8119222936584,12972.514176678682,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
21,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.5454068074781152,0.00790680747811523,3.269410502342777,3,1.7320508075688772,0.525,0.55,0.5375,31.5,33.0,32.25,210.74850717831532,220.7841503772827,215.766328777799,0.00987007399019506,0.005698489875160641,0.00022050198421994917,0.00012730687994623428,0.0,0.0,0.0,1.0,303.9490892348125,13605.319746272764,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
22,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.5660917634715475,0.003591763471547549,2.005629938713465,2,1.4142135623730951,0.55,0.5750000000000001,0.5625,33.0,34.50000000000001,33.75,220.7841503772827,230.81979357625016,225.8019719767664,0.006287602690050157,0.004446006499541245,0.00014046793068826327,9.932582632891292e-05,0.0,0.0,0.0,1.0,318.086256175968,14238.125315866911,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
23,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.5970098880561779,0.009509888056177918,2.050676271068682,2,1.4142135623730951,0.5750000000000001,0.6000000000000001,0.5875,34.50000000000001,36.00000000000001,35.25,230.81979357625016,240.85543677521756,235.8376151757338,0.006020045128771455,0.004256814733603339,0.00013449057193557184,9.509919542130004e-05,0.0,0.0,0.0,1.0,332.2234231171206,14870.930885460926,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
24,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.622955859046766,0.010455859046765936,2.485984361332522,2,1.4142135623730951,0.6000000000000001,0.625,0.6125,36.00000000000001,37.5,36.75,240.85543677521756,250.8910799741849,245.8732583747012,0.005774329001066522,0.004083067193456281,0.0001290011608361613,9.121759560818612e-05,0.0,0.0,0.0,1.0,346.36059005827326,15503.736455054946,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
25,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.6431526860548238,0.005652686054823719,2.8614860951082934,3,1.7320508075688772,0.625,0.65,0.6375000000000001,37.5,39.0,38.25000000000001,250.8910799741849,260.9267231731523,255.90890157366863,0.008321827089772306,0.00480460911042956,0.00018591343767564346,0.00010733717328800144,0.0,0.0,0.0,1.0,360.49775699942876,16136.542024649092,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
26,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.6675447266852218,0.005044726685221712,2.3779668047186373,2,1.4142135623730951,0.65,0.675,0.6625000000000001,39.0,40.5,39.75000000000001,260.9267231731523,270.9623663721197,265.94454477263605,0.005338530585891668,0.003774911178855791,0.00011926522416928069,8.433324876983211e-05,0.0,0.0,0.0,1.0,374.63492394058284,16769.347594243176,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
27,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.692861853471699,0.005361853471699041,2.6572798789192595,3,1.7320508075688772,0.675,0.7000000000000001,0.6875,40.5,42.00000000000001,41.25,270.9623663721197,280.99800957108715,275.98018797160336,0.007716603301425187,0.004455182993307386,0.00017239246039014116,9.953083341250989e-05,0.0,0.0,0.0,1.0,388.772090881739,17402.153163837353,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
28,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.7115312772040632,-0.0009687227959368494,2.618221777568182,3,1.7320508075688772,0.7000000000000001,0.7250000000000001,0.7125,42.00000000000001,43.50000000000001,42.75,280.99800957108715,291.0336527700545,286.0158311705708,0.007445845290848904,0.004298860783015922,0.00016634360213083884,9.60385234682118e-05,0.0,0.0,0.0,1.0,402.909257822891,18034.95873343134,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
29,Segue1,Niederste-Ostholt_et_al_2009_Fig7_digitized,CMD_mask_number_counts,projected_circular_radius,0.7385166264060111,0.0010166264060110786,2.413440831122338,2,1.4142135623730951,0.7250000000000001,0.75,0.7375,43.50000000000001,45.0,44.25,291.0336527700545,301.0692959690219,296.0514743695382,0.004795629170377285,0.0033910219064297955,0.00010713655730460863,7.57569861830699e-05,0.0,0.0,0.0,1.0,417.0464247640429,18667.764303025324,stars_per_arcmin2,pc,circular_annulus_pi_delta_r2,6.690428799311597,0.025,Digitized Niederste-Ostholt et al. 2009 Fig. 7 stellar number-count profile. Digitized x coordinates are treated as noisy measurements of the centers of fixed 0.025 deg annuli. Exact contiguous annulus edges are reconstructed from that published bin spacing. Digitized counts are rounded to integer tracer counts and assigned Poisson sqrt(N) uncertainties. No additional background subtraction is applied at this source-construction stage.
