schema_version,row_type,galaxy,distance_pc,axis_ratio_q,seeing_arcsec,nrdat,nvdat,nrlib,nvlib,nvel,irrat,ivrat,radial_rmin_arcsec,radial_rmax_arcsec,a,b,source_data_csv,source_surface_brightness_csv,ir,iv,r_inner_arcsec,r_outer_arcsec,r_inner_pc,r_outer_pc,vcoord_inner,vcoord_outer,light_raw,light_seen,source_ir,source_iv,target_ir,target_iv,sumb,sumbn,aperture_id,aperture_name,ir_start,ir_end,iv_start,iv_end,aperture_light,star_count,aperture_mean_velocity_kms,aperture_sigma_kms,aperture_sigma_lo_kms,aperture_sigma_hi_kms,aperture_sigma_err_kms,losvd_center_kms,losvd_shape,losvd_vmin_kms,losvd_vmax_kms,losvd_sigma_extent,mkherm_nsim,mkherm_econt_frac,mkherm_rng,velocity_bin,velocity_low_kms,velocity_center_kms,velocity_high_kms,losvd_target,losvd_sigma,losvd_supported
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,5,1,35.140945704471505,54.296436685589761,3.9184666241822357,6.0544408681989061,0,0.20000000000000001,0.0016478234438175436,0.0016478234168103413,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,5,2,35.140945704471505,54.296436685589761,3.9184666241822357,6.0544408681989061,0.20000000000000001,0.40000000000000002,0.0017198469404131264,0.0017198469630391585,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,5,3,35.140945704471505,54.296436685589761,3.9184666241822357,6.0544408681989061,0.40000000000000002,0.60000000000000009,0.0018984557707781627,0.0018984557751165324,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,5,4,35.140945704471505,54.296436685589761,3.9184666241822357,6.0544408681989061,0.60000000000000009,0.80000000000000004,0.0023224444538128891,0.0023224444538556899,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,5,5,35.140945704471505,54.296436685589761,3.9184666241822357,6.0544408681989061,0.80000000000000004,1,0.0052661261550088307,0.0052661261550088307,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,6,1,54.296436685589761,81.398523879499805,6.0544408681989061,9.0765176109210728,0,0.20000000000000001,0.0032991055062241317,0.0032991055062241317,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,6,2,54.296436685589761,81.398523879499805,6.0544408681989061,9.0765176109210728,0.20000000000000001,0.40000000000000002,0.0034433036696180945,0.0034433036696180945,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,6,3,54.296436685589761,81.398523879499805,6.0544408681989061,9.0765176109210728,0.40000000000000002,0.60000000000000009,0.0038008962126349702,0.0038008962126349702,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,6,4,54.296436685589761,81.398523879499805,6.0544408681989061,9.0765176109210728,0.60000000000000009,0.80000000000000004,0.0046497634890562819,0.0046497634890562819,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
1,spatial_cell,Segue1,23000,1,1.5,80,20,20,5,13,4,4,1,11386.65,0.086755333328247072,8.4067698751951679e-05,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_stars.csv,/home/nate/research/OSPM_V2/Data/Galaxy_Profiles/Segue1/Segue1_surface_brightness.csv,6,5,54.296436685589761,81.398523879499805,6.0544408681989061,9.0765176109210728,0.80000000000000004,1,0.010543305388477192,0.010543305388477192,,,,,,,,,,,,,,,,,,,,0,gaussian,,,4.5,100,0.016666666666666666,ran1+gasdev_cached,,,,,,,
