ra_deg,dec_deg,vlos,vlos_err,source,id,x_pc,y_pc,r_pc,v_sys_kms,vlos_rel_kms,kin_bin,n_epochs,Bpr,EMpr,Mm,vlos_span,repeat_chi2,repeat_dof,repeat_chi2_red,repeat_p,repeat_variable,match_sep_arcsec
151.8155,16.05,208.54922118453257,3.178128968533936,Simon+2011_Table3,J100715.72+160260.0,18.822971007696847,-12.805480721882978,22.765864228601394,208.5667270167265,-0.017505832193933202,1,3,0.991,0.999,1.0,9.400000000000006,1.8867388441134452,2,0.9433694220567226,0.38931386022562187,False,0.0
151.81287,16.11894,205.5509320443366,5.0464337041780345,Simon+2011_Table3,J100715.09+160708.2,17.80853629970327,14.86880896358933,23.19968631541305,208.5667270167265,-3.015794972389898,1,3,0.982,0.99,1.0,15.299999999999983,1.0001083447741883,2,0.5000541723870942,0.6064978033889118,False,0.0
151.70437,16.06353,201.56986301369864,4.7752788056021265,Simon+2011_Table3,J100649.05+160348.7,-24.04171686288907,-7.374190622601528,25.14722324738437,208.5667270167265,-6.996864003027866,2,2,0.968,0.996,1.0,17.599999999999994,1.4682656301843857,1,1.4682656301843857,0.22561953765533857,False,0.0
151.70679,16.05231,205.3354071294559,5.455933238657749,Simon+2011_Table3,J100649.63+160308.3,-23.108282644884017,-11.878187290298714,25.98237980053524,208.5667270167265,-3.2313198872706153,2,2,0.989,0.994,1.0,8.800000000000011,0.5811632270168869,1,0.5811632270168869,0.4458567339630971,False,0.0
151.81075,16.03181,205.7120908483634,1.3077948315042711,Simon+2011_Table3,J100714.58+160154.5,16.990817067407328,-20.107414713452236,26.32481701886749,208.5667270167265,-2.8546361683631005,2,3,0.989,0.994,1.0,6.099999999999994,4.891058740038358,2,2.445529370019179,0.0866802368356368,False,0.0
151.70958,16.11914,203.2,6.5,Simon+2011_Table3,J100650.30+160708.9,-22.032133277850168,14.949094109181882,26.624994111889094,208.5667270167265,-5.366727016726514,2,1,0.984,0.98,1.0,0.0,0.0,0,,1.0,False,0.0
151.72692,16.02406,211.9,7.4,Simon+2011_Table3,J100654.46+160126.6,-15.343807104209194,-23.21846410513168,27.830369955364745,208.5667270167265,3.3332729832735026,2,1,0.985,0.995,1.0,0.0,0.0,0,,1.0,False,0.0
151.85033,16.07497,197.6,7.6,Simon+2011_Table3,J100724.08+160429.9,32.25748084783335,-2.781880294754069,32.37721310771939,208.5667270167265,-10.966727016726509,2,1,0.885,0.955,1.0,0.0,0.0,0,,1.0,False,0.0
151.69975,16.13664,203.8,6.5,Simon+2011_Table3,J100647.94+160811.9,-25.82372764271512,21.97404434845862,33.90757340762024,208.5667270167265,-4.766727016726492,2,1,0.973,0.988,1.0,0.0,0.0,0,,1.0,False,0.0
151.68112,16.10125,209.4,6.4,Simon+2011_Table3,J100643.47+160604.5,-33.009628254873846,7.767587836000178,33.91122201152509,208.5667270167265,0.8332729832735026,2,1,0.984,0.99,1.0,0.0,0.0,0,,1.0,False,0.0
151.72104,16.16289,205.26379310344825,2.757435090054174,Simon+2011_Table3,J100653.05+160946.4,-17.611820823995824,32.51146970737501,36.97528762930852,208.5667270167265,-3.3029339132782525,2,2,0.969,0.99,1.0,1.6999999999999886,0.04982758620689588,1,0.04982758620689588,0.8233635585309048,False,0.0
151.68562,16.02483,207.92529232346624,2.9038033276191397,Simon+2011_Table3,J100644.55+160129.4,-31.27390346932556,-22.90936629460316,38.76720395165213,208.5667270167265,-0.6414346932602655,2,4,0.99,0.997,1.0,14.700000000000017,3.548855289574238,3,1.1829517631914126,0.31448081381976717,False,0.0
151.66858,16.04392,206.6486716956379,5.215714077240032,Simon+2011_Table3,J100640.46+160238.1,-37.84651465726724,-15.246149147871256,40.8020065136738,208.5667270167265,-1.918055321088616,2,2,0.965,0.989,1.0,6.099999999999994,0.30510003279763803,1,0.30510003279763803,0.5807026830767761,False,0.0
151.66146,16.10381,212.9,7.4,Simon+2011_Table3,J100638.75+160613.7,-40.59281698461356,8.795237699573855,41.53472037871853,208.5667270167265,4.333272983273503,2,1,0.913,0.983,1.0,0.0,0.0,0,,1.0,False,0.0
151.87942,16.07208,212.89999999999998,9.8,Simon+2011_Table3,J100731.06+160419.5,43.47797729483242,-3.94200064855571,43.65631545106821,208.5667270167265,4.333272983273474,2,1,0.948,0.986,1.0,0.0,8.411011734134901e-30,0,,1.0,False,0.0
151.86483,16.02622,219.19999999999996,8.8,Simon+2011_Table3,J100727.56+160134.4,37.85037182347259,-22.351384532741825,43.957195516839086,208.5667270167265,10.633272983273457,2,1,0.936,0.991,1.0,0.0,1.0431218581434866e-29,0,,1.0,False,0.0
151.65504,16.10581,217.47544522396115,3.7819579072909097,Simon+2011_Table3,J100637.21+160620.9,-43.069117678655005,9.598089155492984,44.12564121975595,208.5667270167265,8.908718207234642,2,2,0.95,0.981,1.0,17.899999999999977,4.322854830005386,1,4.322854830005386,0.037603784242281155,False,0.0
151.77617,15.97008,198.4,8.1,Simon+2011_Table3,J100706.28+155812.3,3.652736382041503,-44.88742490034192,45.03580128365127,208.5667270167265,-10.166727016726497,3,1,0.928,0.985,1.0,0.0,0.0,0,,1.0,False,0.0
