ra,dec,vlos,vlos_err,src,id,ruwe,parallax,parallax_err,pmra,pmra_err,pmdec,pmdec_err,x_pc,y_pc,r_pc,has_vlos,preprocess_mode,R_deg,R_pc
100.46254346715,-50.94029236876,222.6199951171875,1.0099999904632568,walker+2023 (m2fshi),,,,,,,,,68.83645180769918,47.29495441423926,83.51808074015267,True,dwarf,0.04558224990290718,83.53383583362256
100.32989458558,-50.96529565815,218.47000122070312,1.190000057220459,walker+2023 (m2fshi),,,,,,,,,-84.25790671734316,1.4740334273743994,84.27079932535065,True,dwarf,0.04598478789543838,84.27152523369654
100.32989458558,-50.96529565815,218.47000122070312,1.190000057220459,walker+2023 (m2fshi),,,,,,,,,-84.25790671734316,1.4740334273743994,84.27079932535065,True,dwarf,0.04598478789543838,84.27152523369654
100.32989458558,-50.96529565815,218.47000122070312,1.190000057220459,walker+2023 (m2fshi),,,,,,,,,-84.25790671734316,1.4740334273743994,84.27079932535065,True,dwarf,0.04598478789543838,84.27152523369654
100.35881491983,-50.92886279153,213.50999450683597,0.4600000083446502,walker+2023 (m2fshi),,,,,,,,,-50.88001488795917,68.2407486655523,85.1209474420605,True,dwarf,0.046454945221164626,85.13313353400746
100.35881491983,-50.92886279153,213.50999450683597,0.4600000083446502,walker+2023 (m2fshi),,,,,,,,,-50.88001488795917,68.2407486655523,85.1209474420605,True,dwarf,0.046454945221164626,85.13313353400746
100.34960966125,-50.93371948699,223.8699951171875,0.5400000214576721,walker+2023 (m2fshi),,,,,,,,,-61.50410112737608,59.34038937847885,85.46365465550832,True,dwarf,0.04664371722405889,85.47907629754681
100.34960966125,-50.93371948699,223.8699951171875,0.5400000214576721,walker+2023 (m2fshi),,,,,,,,,-61.50410112737608,59.34038937847885,85.46365465550832,True,dwarf,0.04664371722405889,85.47907629754681
100.45166945769,-51.00162441758,219.4600067138672,2.900000095367432,walker+2023 (m2fshi),,,,,,,,,56.28640628021594,-65.101895420559,86.06053868812891,True,dwarf,0.04695332293307927,86.04645839311142
100.37257968506,-50.92296871361,210.07000732421875,1.340000033378601,walker+2023 (m2fshi),,,,,,,,,-34.993654760427575,79.04221060323901,86.4420437665537,True,dwarf,0.04717277135970508,86.44861863932029
100.46645412409,-50.93985102123,230.07000732421875,0.9800000190734864,walker+2023 (m2fshi),,,,,,,,,73.34986728890253,48.10376600636379,87.71644848769593,True,dwarf,0.04787404630976211,87.73377210754694
100.38677166869,-51.01328100219,229.63999938964844,0.5600000023841858,walker+2023 (m2fshi),,,,,,,,,-18.614228079122405,-86.4637024236542,88.44467945437879,True,dwarf,0.04826088416707107,88.44268950709409
100.38677166869,-51.01328100219,229.63999938964844,0.5600000023841858,walker+2023 (m2fshi),,,,,,,,,-18.614228079122405,-86.4637024236542,88.44467945437879,True,dwarf,0.04826088416707107,88.44268950709409
100.32927949472,-50.95167761644,223.8300018310547,1.159999966621399,walker+2023 (m2fshi),,,,,,,,,-84.96780294514362,26.430398306276917,88.98366980493219,True,dwarf,0.048562952917328574,88.99625940432877
100.32927949472,-50.95167761644,223.8300018310547,1.159999966621399,walker+2023 (m2fshi),,,,,,,,,-84.96780294514362,26.430398306276917,88.98366980493219,True,dwarf,0.048562952917328574,88.99625940432877
100.32927949472,-50.95167761644,223.8300018310547,1.159999966621399,walker+2023 (m2fshi),,,,,,,,,-84.96780294514362,26.430398306276917,88.98366980493219,True,dwarf,0.048562952917328574,88.99625940432877
100.47941548261,-50.95695576607,224.97999572753903,1.0499999523162842,walker+2023 (m2fshi),,,,,,,,,88.3089897839062,16.75768391335042,89.88491334364079,True,dwarf,0.04905252548721256,89.89344799788095
100.47941548261,-50.95695576607,224.97999572753903,1.0499999523162842,walker+2023 (m2fshi),,,,,,,,,88.3089897839062,16.75768391335042,89.88491334364079,True,dwarf,0.04905252548721256,89.89344799788095
100.3685584634,-50.92192540546,216.13999938964844,0.8799999952316284,walker+2023 (m2fshi),,,,,,,,,-39.63467655598797,80.95417264792127,90.13592876765196,True,dwarf,0.049189361525804484,90.14421313580655
100.3685584634,-50.92192540546,216.13999938964844,0.8799999952316284,walker+2023 (m2fshi),,,,,,,,,-39.63467655598797,80.95417264792127,90.13592876765196,True,dwarf,0.049189361525804484,90.14421313580655
100.47850776551,-50.97969906991,216.8999938964844,0.4099999964237213,walker+2023 (m2fshi),,,,,,,,,87.26136416127717,-24.92159723953835,90.75038117967766,True,dwarf,0.04951342704241765,90.73809421279954
