rho_s,r_s,MBH,ML,chi2,reward,status,proposal_id,refine_passes,chi2_losvd,chi2_light,chi2_total,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,weight_mode,weight_solver_mode,losvd_score_mode,alphat,halo_q_axis_ratio,karl_halo_params_active
3.6730321577969782,9004.34834201969,630735.5588868198,0.931979796564619,1243.1304778451615,-1242.6304778451615,pass_bh_up,6.0,0.0,1243.1304778451615,365.260800691832,1352.7087180527112,40.67011083345932,1202.4603670117012,20.0,543.0,2628.0,461.1909072930399,0.026840062267976,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.6730321577969782,9004.34834201969,157683.88972170494,0.931979796564619,1220.8791294178682,-1220.3791294178682,pass_bh_down,6.0,0.0,1220.8791294178682,201.47103525526032,1281.3204399944464,38.60479534291945,1182.2743340749494,20.0,543.0,4058.0,84.38685581478593,0.0529896279133776,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
6.0,9004.34834201969,315367.7794434099,0.931979796564619,1224.921817735347,-1224.421817735347,pass_halo_up,6.0,0.0,1224.921817735347,119.35215010697756,1260.7274627674403,39.36022604560916,1185.5615916897384,20.0,543.0,2842.0,63.24224200928138,0.0487302529924698,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
1.8365160788984891,9004.34834201969,315367.7794434099,0.931979796564619,1217.773190347518,-1217.273190347518,pass_halo_down,6.0,0.0,1217.773190347518,257.08475771365755,1294.8986176616154,37.535619898421366,1180.2375704490971,20.0,543.0,7250.0,73.35949861558383,0.07431880585183,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.6730321577969782,9004.34834201969,315367.7794434099,1.863959593129238,1232.621729158985,-1232.121729158985,pass_ml_up,6.0,0.0,1232.621729158985,291.1657327914254,1319.9714489964126,30.71146739699908,1201.9102617619865,20.0,543.0,2890.0,206.6087051449854,0.0412215999028781,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.6730321577969782,9004.34834201969,315367.7794434099,0.4659898982823095,1220.0426300594108,-1219.5426300594108,pass_ml_down,6.0,0.0,1220.0426300594108,106.78692791866342,1252.07870843501,31.677706347517542,1188.364923711894,20.0,543.0,2707.0,41.74293376032541,0.0768273156616827,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,242294.61194293035,0.6540350278081506,1257.570500494167,-1257.070500494167,pass_full,7.0,0.0,1257.570500494167,663.192410498237,1456.528223643638,46.1121918792573,1211.4583086149091,20.0,543.0,3373.0,10.66001869778707,0.1599283107698308,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,0.0,0.6540350278081506,1200.485134906775,-1199.985134906775,pass_halo_only,7.0,0.0,1200.485134906775,68.11989543633253,1220.921103537675,38.07837591303669,1162.406758993738,20.0,543.0,2808.0,15.002074534229097,0.1610640028124821,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,484589.2238858607,0.6540350278081506,1193.6392020093456,-1193.1392020093456,pass_bh_up,7.0,0.0,1193.6392020093456,68.2907062194284,1214.1264138751742,38.86202669286299,1154.7771753164827,20.0,543.0,6134.0,10.307483388582517,0.2053978964271396,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,121147.30597146518,0.6540350278081506,1224.914362281476,-1224.414362281476,pass_bh_down,7.0,0.0,1224.914362281476,127.44832215232547,1263.1488589271737,41.92200947316805,1182.992352808308,20.0,543.0,3662.0,10.42708070222637,0.2086747720959832,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
6.0,5466.4452809981385,242294.61194293035,0.6540350278081506,1204.7008971751218,-1204.2008971751218,pass_halo_up,7.0,0.0,1204.7008971751218,60.21670102082314,1222.765907481369,33.41660566015265,1171.2842915149697,20.0,543.0,2504.0,30.13609493345627,0.0855591726030651,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
2.9407758111316333,5466.4452809981385,242294.61194293035,0.6540350278081506,1140.3928523591246,-1139.8928523591246,pass_halo_down,7.0,0.0,1140.3928523591246,79.9984493209663,1164.3923871554146,36.31135644767318,1104.081495911451,20.0,543.0,4570.0,61.28686031153785,0.0698302762497612,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,242294.61194293035,1.3080700556163012,1216.2504439360653,-1215.7504439360653,pass_ml_up,7.0,0.0,1216.2504439360653,93.13923118577512,1244.1922132917978,36.44383225835328,1179.806611677712,20.0,543.0,3606.0,4.221795595249676,0.4617662682680892,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
5.881551622263267,5466.4452809981385,242294.61194293035,0.3270175139040753,1209.8069168214306,-1209.3069168214306,pass_ml_down,7.0,0.0,1209.8069168214306,105.5192180425601,1241.4626822341986,37.53160684160365,1172.2753099798267,20.0,543.0,3390.0,77.10662418811228,0.0469295765496728,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.390934722789219,1420.035111150617,876258.5589425064,1.0645973390543124,1513.9894459728011,-1513.4894459728011,pass_full,8.0,0.0,1513.9894459728011,534.3538037421033,1674.2955870954322,353.37523802408714,1160.6142079487138,20.0,543.0,2737.0,15.200127658942202,0.1975513992649091,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
3.390934722789219,1420.035111150617,0.0,1.0645973390543124,1189.9506317186467,-1189.4506317186467,pass_halo_only,8.0,0.0,1189.9506317186467,277.77487687050285,1273.2830947797977,26.983504067258085,1162.9671276513882,20.0,543.0,2168.0,176.2010039963608,0.0300626579563818,nfw,entropy,expanded_cm,standard,1.0,1.0,0.0
