v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits
100.0,1800.0,450000.0,1.0,207.47442112836436,-207.47442112836436,pass_bh_down,82.0,207.47442112836436,0.17438741528516744,8.940816358816943e-08,1.0,1.0,3.0,none,0.0,5.016871923752471,202.45754920461192,20.0,543.0,8516.0,81.33402023080805,0.04073317287439413,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8516,0.8516,1.0,0.821917808219178,0.851,0.8486486486486486,0.07391552511415533,0.0030000000000000027,0.005667898113941305,0.0,0.0,4258.0,5000.0
200.0,1800.0,900000.0,1.0,232.17358886340014,-232.17358886340014,pass_halo_up,82.0,232.17358886340014,0.09066089087917817,6.371855114604414e-08,1.0,1.0,3.0,none,0.0,3.2299362565778806,228.94365260682227,20.0,543.0,8552.0,63.58447822764943,0.04153659450119897,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8552,0.8552,1.0,0.821917808219178,0.851,0.8522522522522522,0.07391552511415533,0.008000000000000007,0.00566141681249599,0.0,0.0,4276.0,5000.0
50.0,1800.0,900000.0,1.0,240.87885878776243,-240.87885878776243,pass_halo_down,82.0,240.87885878776243,0.0864732841805278,1.492051038671749e-07,1.0,1.0,4.0,none,0.0,4.897223608637335,235.98163517912508,20.0,543.0,8554.0,39.85666864083507,0.0650098098243886,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8554,0.8554,1.0,0.821917808219178,0.851,0.8522522522522522,0.07391552511415533,0.008000000000000007,0.00566141681249599,0.0,0.0,4277.0,5000.0
100.0,1800.0,900000.0,2.0,201.14381903776095,-201.14381903776095,pass_ml_up,82.0,201.14381903776095,0.19440978200734094,8.417392194026794e-08,1.0,1.0,3.0,none,0.0,3.332839101291316,197.81097993646964,20.0,543.0,8570.0,65.3316918316389,0.04733345600534673,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.857,0.857,1.0,0.821917808219178,0.851,0.85431654676259,0.07391552511415533,0.008000000000000007,0.0053956834532373765,0.0,0.0,4285.0,5000.0
100.0,1800.0,900000.0,0.5,198.406591934253,-198.406591934253,pass_ml_down,82.0,198.406591934253,0.13547010880026278,7.287506592555718e-08,1.0,1.0,3.0,none,0.0,2.868488445988486,195.53810348826454,20.0,543.0,8582.0,65.64075472121601,0.056218460903142566,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8582,0.8582,1.0,0.821917808219178,0.857,0.8558558558558559,0.07391552511415533,0.0020000000000000018,0.005654935511050563,0.0,0.0,4291.0,5000.0
0.0,1800.0,900000.0,1.0,815.2682794136723,-815.2682794136723,pass_bh_only,82.0,815.2682794136723,0.029616393930155027,4.706099558582097e-06,1.0,1.0,3.0,none,0.0,14.454194262272607,800.8140851513992,20.0,543.0,8586.0,24.85051892628742,0.10639854049011918,none,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8586,0.8586,1.0,0.821917808219178,0.858,0.8561151079136691,0.07391552511415533,0.0010000000000000009,0.0053956834532373765,0.0,0.0,4293.0,5000.0
100.0,1800.0,900000.0,1.0,196.6397923135997,-196.6397923135997,pass_full,91.0,196.6397923135997,0.2122019758357112,8.507431264792519e-08,1.0,1.0,3.0,none,0.0,3.413388289046047,193.22640402455366,20.0,543.0,8538.0,62.65896531135672,0.05784872378032924,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8538,0.8538,1.0,0.821917808219178,0.851,0.8504504504504504,0.07391552511415533,0.007000000000000006,0.007463218614297773,0.0,0.0,4269.0,5000.0
100.0,1800.0,0.0,1.0,203.97963519613242,-203.97963519613242,pass_halo_only,91.0,203.97963519613242,0.02149794598304311,2.4592246620240748e-08,1.0,1.0,3.0,none,0.0,1.6093828317908596,202.37025236434155,20.0,543.0,8570.0,37.242980833337846,0.09266310413397724,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.857,0.857,1.0,0.821917808219178,0.851,0.85431654676259,0.07391552511415533,0.008000000000000007,0.0053956834532373765,0.0,0.0,4285.0,5000.0
100.0,1800.0,1800000.0,1.0,191.29465539713235,-191.29465539713235,pass_bh_up,91.0,191.29465539713235,0.21737769360058223,8.203678676626122e-08,1.0,1.0,3.0,none,0.0,4.373404361591714,186.92125103554065,20.0,543.0,8548.0,67.87466248412667,0.054333837032214734,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8548,0.8548,1.0,0.821917808219178,0.851,0.8522522522522522,0.07391552511415533,0.008000000000000007,0.00566141681249599,0.0,0.0,4274.0,5000.0
100.0,1800.0,450000.0,1.0,207.4653609078173,-207.4653609078173,pass_bh_down,91.0,207.4653609078173,0.16248228791650376,9.216006645140502e-08,1.0,1.0,3.0,none,0.0,5.048766744490098,202.41659416332723,20.0,543.0,8544.0,82.91955836206085,0.03571587744208019,nonsingular_isothermal,1.0,0.01,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.8544,0.8544,1.0,0.821917808219178,0.851,0.8522522522522522,0.07391552511415533,0.008000000000000007,0.00566141681249599,0.0,0.0,4272.0,5000.0
