v0,r_c,MBH,ML,chi2,reward,status,proposal_id,chi2_losvd,delta_chi2_iteration,max_light_relative_residual,max_light_sigma_residual,light_constraint_ok,solver_converged,solver_iterations,solver_failure_reason,julia_status_code,chi2_inner,chi2_outer,N_inner,N_outer,N_nonzero_weights,effective_N_orbits,max_weight_fraction,halo_type,alphat,light_rel_tol,light_sigma_tol,delta_chi2_iter_tol,halo_q_axis_ratio,karl_halo_params_active,coverage_status,coverage_strict,coverage_issue_region,coverage_issue_axis,coverage_issue_shell_bands,coverage_reasons,coverage_fraction,coverage_attempted_fraction,coverage_success_fraction,coverage_shell_min,coverage_lfrac_min,coverage_theta_min,coverage_shell_gap,coverage_lfrac_gap,coverage_theta_gap,coverage_joint_holes,coverage_deadline_hit,successful_base_orbits,planned_base_orbits,phase_volume_valid,phase_volume_convention,phase_volume_normalization,phase_volume_launches_recorded,phase_volume_sos_recorded,phase_volume_valid_base_orbits,phase_volume_invalid_recorded_orbits,phase_volume_nested_groups,phase_volume_duplicate_area_clusters,phase_volume_duplicate_area_orbits,raw_phase_volume_min,raw_phase_volume_max,raw_phase_volume_dynamic_range,normalized_phase_volume_min,normalized_phase_volume_max,wphase_min,wphase_max,wphase_dynamic_range,wphase_pair_max_relative_mismatch,losvd_fit_statistic,losvd_conditioning
7.1036914700331355,166.75709230661406,90156.3208594143,10.662901217232218,117.11096324314126,-117.11096324314126,pass_full,10.0,117.11096324314126,8.385824612844317e-05,0.009963015710853264,0.039435768855277886,1.0,1.0,899.0,none,0.0,2.524774439688738,114.58618880345253,20.0,543.0,1829.0,71.25805084777596,0.05509614647141929,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9985985985985986,1.0,0.9985985985985986,0.9888712241653418,0.994238683127572,0.9907407407407407,0.011128775834658211,0.0057613168724279795,0.0092592592592593,0.0,0.0,4988.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4988.0,4988.0,4988.0,0.0,540.0,0.0,0.0,1.5473888808868178e+42,4.226244674722978e+52,27312104454.963463,5.142108419552714e-07,14044.180227357001,7.120387119869592e-05,1944727.5677765366,27312104454.96331,0.0,legacy_chi2,none
132.50267795836817,68.09304059816674,705402.1700780571,15.684287154677545,124.00801446437256,-124.00801446437256,pass_full,11.0,124.00801446437256,0.00018319040081848925,0.009955237307728577,0.039404980255059764,1.0,1.0,897.0,none,0.0,4.204407038036739,119.80360742633583,20.0,543.0,3082.0,107.19428081068067,0.03663337212756483,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9985985985985986,1.0,0.9985985985985986,0.9888712241653418,0.994238683127572,0.9925925925925926,0.011128775834658211,0.0057613168724279795,0.007407407407407418,0.0,0.0,4988.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4988.0,4988.0,4988.0,0.0,540.0,0.0,0.0,3.118290494644113e+43,5.872460272245923e+57,188323066190667.4,5.698337631305723e-10,107312.84149171505,9.318549263064698e-06,1754897769.6691146,188323066190665.97,0.0,legacy_chi2,none
28.257941511222473,2263.3294144131237,37577.15339206702,7.413955557414369,180.69515315851655,-180.69515315851655,pass_full,12.0,180.69515315851655,7.035638839170133e-05,0.009955432178750572,0.039405751596669876,1.0,1.0,899.0,none,0.0,5.4835310483469755,175.21162211016957,20.0,543.0,1232.0,67.39336838394796,0.03800132384769767,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,0.9963963963963964,1.0,0.9963963963963964,0.9713831478537361,0.9851851851851852,0.9888888888888889,0.02861685214626386,0.014814814814814836,0.011111111111111072,0.0,0.0,4977.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4977.0,4977.0,4977.0,0.0,540.0,0.0,0.0,1.729060012311257e+40,5.728043600538942e+53,33128078607764.41,2.0663830771297664e-08,684553.0101290942,1.4608072496992134e-06,48393737.39882797,33128078607764.613,0.0,legacy_chi2,none
106.56660495795181,136.9450703847639,0.0,5.140722096184752,108.42196572124865,-108.42196572124865,pass_no_bh,1.0,108.42196572124865,0.00019040119579472048,0.009958644786605601,0.0394184677926963,1.0,1.0,897.0,none,0.0,3.3201076467961226,105.10185807445254,20.0,543.0,4517.0,95.5130989523471,0.03762524271825384,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,3.595805888373566e+36,1.935729118631003e+57,5.383297037500989e+20,1.0785483580595e-14,5806146.180743265,1.7223128196747994e-07,92717214998053.27,5.3832970375009914e+20,0.0,legacy_chi2,none
150.5387217744222,3431.7586320748433,0.0,12.869259726638841,66.88308889491853,-66.88308889491853,pass_no_bh,2.0,66.88308889491853,0.00016564328934975947,0.009974744961461647,0.039482195763481394,1.0,1.0,897.0,none,0.0,2.559085102079524,64.324003792839,20.0,543.0,3612.0,112.64999867458569,0.03763589049048728,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,2.450439145026917e+36,2.1065252878456086e+56,8.596521534194106e+19,5.214151062473267e-12,448235618.91091824,2.2309695120385753e-09,191785774523.69833,8.596521534193974e+19,0.0,legacy_chi2,none
144.72543383541347,988.3273192716629,0.0,0.07207459025510284,80.0486817819972,-80.0486817819972,pass_no_bh,3.0,80.0486817819972,2.5302819423700385e-05,0.009944354263045165,0.03936190281274387,1.0,1.0,897.0,none,0.0,1.0182825961419146,79.03039918585529,20.0,543.0,3071.0,112.3950130286299,0.030656118881820727,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,2.912225792182311e+32,2.8619604068677844e+57,9.82739873587597e+24,2.9587103138938504e-15,29076425998.583374,3.4392122334729886e-11,337985099556413.3,9.827398735875887e+24,0.0,legacy_chi2,none
46.16192309626368,1.1194908112834212,0.0,15.85557530618052,91.97744009695977,-91.97744009695977,pass_no_bh,4.0,91.97744009695977,0.0001843242824719482,0.009980976024265818,0.03950685965638284,1.0,1.0,898.0,none,0.0,3.6144707413928643,88.3629693555669,20.0,543.0,2354.0,121.93187818667039,0.032079646380795676,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,5.778814256971594e+41,7.936630686915278e+55,137340124357526.84,6.391343609209717e-11,8777.879261005399,0.0001139227335288572,15646162390.002514,137340124357525.73,0.0,legacy_chi2,none
122.43440513062329,3960.194368203009,0.0,19.605191814949166,73.83667032728694,-73.83667032728694,pass_no_bh,5.0,73.83667032728694,0.00012549295065866772,0.009940155712068252,0.039345284040811966,1.0,1.0,898.0,none,0.0,2.5761750684886615,71.2604952587983,20.0,543.0,3964.0,93.285078488703,0.03508056700718204,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,1.9592894003934215e+36,3.351599642778941e+55,1.7106200044291293e+19,5.08149930674716e-12,86925143.66614385,1.1504151248121391e-08,196792312590.1465,1.7106200044291174e+19,0.0,legacy_chi2,none
108.41303597976038,9.314905380915626,0.0,2.66760426140416,119.82315919589507,-119.82315919589507,pass_no_bh,6.0,119.82315919589507,0.00023275193132121785,0.009968592925537603,0.03945784467604652,1.0,1.0,898.0,none,0.0,4.4679181124246785,115.35524108347039,20.0,543.0,2883.0,119.72683828864567,0.026331049435510543,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,1.3467448588930552e+40,1.678972965517056e+57,1.2466897158954613e+17,2.394502343143001e-13,29852.014458839098,3.349857683403014e-05,4176233123611.8545,1.2466897158954384e+17,0.0,legacy_chi2,none
175.2517117885013,83.43099444285643,0.0,16.552811778095286,133.42694730948523,-133.42694730948523,pass_no_bh,7.0,133.42694730948523,0.00022442567626512755,0.009966614644578847,0.03945001421257196,1.0,1.0,897.0,none,0.0,4.202053780103624,129.22489352938157,20.0,543.0,3908.0,108.19367638901716,0.03178539963843693,nonsingular_isothermal,1.0,0.01,2.0,0.3,1.0,0.0,strict_pass,1.0,none,none,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4995.0,4995.0,1.0,inverse_phase_volume,geometric_mean,4995.0,4995.0,4995.0,0.0,540.0,0.0,0.0,5.25197718184001e+37,1.4685219798343816e+58,2.7961316833442346e+20,8.513295090488147e-15,2380429.4132172577,4.2009227177564356e-07,117463331103992.14,2.7961316833442048e+20,0.0,legacy_chi2,none
